event_date,date_id,day,month,month_name,year,weekday,weekday_name,is_weekend,week_of_year
2025-01-01,20250101,1,1,january,2025,3,wednesday,0,1
2025-01-04,20250104,4,1,january,2025,6,saturday,1,1
2025-01-08,20250108,8,1,january,2025,3,wednesday,0,2
2025-01-13,20250113,13,1,january,2025,1,monday,0,3
2025-01-17,20250117,17,1,january,2025,5,friday,0,3
2025-01-22,20250122,22,1,january,2025,3,wednesday,0,4
2025-01-27,20250127,27,1,january,2025,1,monday,0,5
2025-01-31,20250131,31,1,january,2025,5,friday,0,5
2025-02-03,20250203,3,2,february,2025,1,monday,0,6
2025-02-08,20250208,8,2,february,2025,6,saturday,1,6
2025-02-13,20250213,13,2,february,2025,4,thursday,0,7
2025-02-18,20250218,18,2,february,2025,2,tuesday,0,8
2025-02-21,20250221,21,2,february,2025,5,friday,0,8
2025-02-24,20250224,24,2,february,2025,1,monday,0,9
2025-02-28,20250228,28,2,february,2025,5,friday,0,9
