event_date,avg_temp_c,min_temp_c,max_temp_c,precip_mm,snow_mm,wind_dir_deg,wind_speed_kmh,wind_gust_kmh,pressure_hpa,sun_hours,city,weather_id
2025-01-01,2.3,1.1,3.6,0.7,0.0,0.0,26.7,0.0,1005.6,0.0,toronto,1
2025-01-02,-0.4,-2.2,1.4,0.1,0.0,0.0,33.7,0.0,1014.3,0.0,toronto,2
2025-01-03,-1.7,-4.2,0.8,0.0,0.0,0.0,32.3,0.0,1012.2,0.0,toronto,3
2025-01-04,-3.7,-5.8,-1.6,0.0,0.0,0.0,37.7,0.0,1013.5,0.0,toronto,4
2025-01-05,-2.6,-5.1,0.0,0.0,0.0,0.0,27.6,0.0,1017.4,0.0,toronto,5
2025-01-06,-5.8,-9.0,-2.7,0.0,0.0,0.0,23.4,0.0,1017.1,0.0,toronto,6
2025-01-07,-5.8,-8.0,-3.6,0.0,0.0,0.0,26.3,0.0,1020.6,0.0,toronto,7
2025-01-08,-8.9,-12.0,-5.7,0.0,0.0,0.0,22.1,0.0,1021.0,0.0,toronto,8
2025-01-09,-7.5,-11.0,-3.9,0.0,0.0,0.0,21.0,0.0,1021.4,0.0,toronto,9
2025-01-10,-5.5,-9.4,-1.7,4.1,0.0,0.0,13.5,0.0,1017.0,0.0,toronto,10
2025-01-11,-1.8,-4.3,0.7,1.8,6.0,0.0,14.2,0.0,1005.7,0.0,toronto,11
2025-01-12,0.3,-1.7,2.4,0.4,3.0,0.0,17.2,0.0,1013.9,0.0,toronto,12
2025-01-13,-2.3,-6.7,2.1,0.2,4.0,0.0,36.9,0.0,1011.3,0.0,toronto,13
2025-01-14,-5.9,-7.4,-4.5,0.0,4.0,0.0,35.9,0.0,1017.9,0.0,toronto,14
2025-01-15,-5.7,-8.6,-2.7,0.0,5.0,0.0,22.6,0.0,1023.1,0.0,toronto,15
2025-01-16,-3.7,-6.3,-1.1,1.1,4.0,0.0,26.5,0.0,1009.4,0.0,toronto,16
2025-01-17,1.1,-1.3,3.4,0.4,6.0,0.0,26.1,0.0,1011.7,0.0,toronto,17
2025-01-18,-0.2,-4.9,4.6,3.3,5.0,0.0,28.0,0.0,1005.8,0.0,toronto,18
2025-01-19,-7.3,-9.8,-4.8,0.2,1.0,0.0,14.4,0.0,1015.9,0.0,toronto,19
2025-01-20,-10.5,-12.8,-8.3,0.0,3.0,0.0,29.5,0.0,1024.2,0.0,toronto,20
2025-01-21,-12.4,-15.0,-9.8,0.0,3.0,0.0,34.9,0.0,1029.4,0.0,toronto,21
2025-01-22,-11.8,-16.1,-7.6,0.3,2.0,0.0,29.9,0.0,1028.7,0.0,toronto,22
2025-01-23,-5.4,-7.7,-3.2,0.0,3.0,0.0,29.7,0.0,1018.4,0.0,toronto,23
2025-01-24,-6.1,-8.5,-3.7,0.0,3.0,0.0,15.8,0.0,1021.9,0.0,toronto,24
2025-01-25,-3.7,-7.2,-0.2,0.0,3.0,0.0,32.1,0.0,1019.7,0.0,toronto,25
2025-01-26,-1.8,-4.4,0.8,0.1,3.0,0.0,34.3,0.0,1018.0,0.0,toronto,26
